unit,connections,meaningful_connections,reachable,rand_wired,first_activity_tick,death_tick,lifespan,alive,energy_consumed,final_energy,mean_burn_rate,peak_burn,total_propagations,ticks_active,clamp_saturations,thresh_flips,harvest_ticks,regime,final_abs_y,max_abs_output,final_mass
61,32,17,1,1,2,457,457,0,1000.0,0.0,2.1881838074398248,2.521820097581177,8655,456,456,2,456,fixed-point,0.1948785536148132,4.836146073873599,0.0
62,32,16,1,0,2,28,28,0,1000.0,0.0,35.714285714285715,510.03144168279874,412,23,2,18,13,fixed-point,0.011310541093173011,32.57829600298848,0.0
63,32,19,1,1,2,32,32,0,1000.0,0.0,31.25,509.58025,547,30,21,14,21,fixed-point,6.237538574949992,6.237538574949992,0.0
64,32,13,1,1,2,531,531,0,1000.0,0.0,1.8832391713747645,2.1867322510616987,5300,530,0,0,530,fixed-point,1.2869724406091534,3.777270579642582,0.0
65,32,10,1,0,2,33,33,0,1000.0,0.0,30.303030303030305,507.3042830544614,517,30,30,17,22,fixed-point,1.1165326848776633,10.025611777294262,0.0
66,32,14,1,1,2,584,584,0,1000.0,0.0,1.7123287671232876,3.1022652717534074,9910,583,241,0,331,fixed-point,2.7040513889044826,7.621326334421827,0.0
67,32,16,1,0,2,322,322,0,1000.0,0.0,3.1055900621118013,79.7784251385833,6731,321,0,0,0,fixed-point,1.4285707495689133,13.107755357691302,0.0
68,32,17,1,1,2,411,411,0,1000.0,0.0,2.4330900243309004,2.697799524953509,6149,410,410,0,0,fixed-point,5.561815240943632,7.6633198034608,0.0
69,32,14,1,0,2,974,974,0,1000.0,0.0,1.0266940451745379,2.0804999999999154,21394,973,973,0,972,fixed-point,2.996662868961481,3.565142518947515,0.0
70,32,13,1,1,2,46,46,0,1000.0,0.0,21.73913043478261,47.30817972276627,537,45,43,0,44,fixed-point,0.002872968464427137,3.7131260109256266,0.0
71,32,18,1,1,2,26,26,0,1000.0,0.0,38.46153846153846,509.64025,418,23,8,11,11,fixed-point,1.1165326848776633,10.96322606263474,0.0
72,32,16,1,1,2,23,23,0,1000.0,0.0,43.47826086956522,508.630505125,377,21,0,10,3,fixed-point,0.011310541093173011,10.025611777294262,0.0
73,32,22,1,1,2,29,29,0,1000.0,0.0,34.48275862068966,507.91798947114825,445,25,25,11,0,fixed-point,0.0,20.371205897469135,0.0
74,32,13,1,1,2,368,368,0,1000.0,0.0,2.717391304347826,2.997162371317847,7329,367,188,1,0,fixed-point,0.09313028351695303,2.850853287995149,0.0
75,32,16,1,0,2,-1,1000,1,949.8952110565014,50.10478894349867,0.9498952110565013,1.7743254635933638,18974,999,999,0,999,bounded,0.008523928952791167,3.540806638042465,1.0
76,32,13,1,1,2,27,27,0,1000.0,0.0,37.03703703703704,509.48025,424,25,12,2,0,fixed-point,0.0,3.729361857966857,0.0
77,32,11,1,0,2,411,411,0,1000.0,0.0,2.4330900243309004,2.698000724566141,6141,410,0,1,0,fixed-point,1.6146552723055523,11.664693314746357,0.0
78,32,18,1,1,2,83,83,0,1000.0,0.0,12.048192771084338,55.85625696714236,983,82,0,0,70,divergent,0.0,1.5069596519632904E18,0.0
79,32,22,1,1,2,-1,1000,1,-2326.367395260417,3326.367395260417,-2.326367395260417,2.7416902499999196,26961,999,2,1,997,bounded,3.7314312934380287,9.406170842616046,1.0
80,32,14,1,1,2,36,36,0,1000.0,0.0,27.77777777777778,45.69233109425009,559,35,0,0,0,fixed-point,0.5586107974486526,6.2830893790515,0.0
81,32,12,1,1,2,35,35,0,1000.0,0.0,28.571428571428573,61.42925616585625,507,34,0,0,0,fixed-point,0.09106149281703807,4.193392215258281,0.0
82,32,17,1,0,2,361,361,0,1000.0,0.0,2.770083102493075,3.131743369172195,7914,360,0,0,110,fixed-point,0.40682393871883304,3.9207739494003113,0.0
83,32,23,1,1,2,16,16,0,1000.0,0.0,62.5,508.780505125,599,29,10,12,15,fixed-point,1.1347567221476975,41.722273292610744,0.0
84,32,16,1,1,2,25,25,0,1000.0,0.0,40.0,508.71829190497357,393,22,4,11,10,fixed-point,0.011310541093173011,10.025611777294262,0.0
85,32,15,1,1,2,25,25,0,1000.0,0.0,40.0,509.150795345455,300,22,0,4,18,fixed-point,0.0,3.659657582323679,0.0
86,32,16,1,1,2,28,28,0,1000.0,0.0,35.714285714285715,509.64025,379,25,0,4,10,fixed-point,0.0,3.871863078707236,0.0
87,32,19,1,1,2,9,9,0,1000.0,0.0,111.11111111111111,510.3530233425894,406,22,14,13,3,fixed-point,0.05252618785601881,14.434733177729202,0.0
88,32,17,1,1,2,32,32,0,1000.0,0.0,31.25,509.01493371624633,563,29,3,5,14,fixed-point,0.0,4.186895352031007,0.0
89,32,12,1,1,2,-1,1000,1,335.98812546557883,664.0118745344212,0.3359881254655788,1.9004999999999654,12984,999,0,0,998,bounded,3.312391595412421,4.82215135680142,1.0
90,32,13,1,1,2,457,457,0,1000.0,0.0,2.1881838074398248,2.4582453038525065,5013,456,237,0,0,fixed-point,0.0,5.788628803369243,0.0
91,32,17,1,1,2,35,35,0,1000.0,0.0,28.571428571428573,509.64025,551,32,0,11,22,fixed-point,1.1165326848776633,6.237538574949992,0.0
92,32,18,1,1,2,26,26,0,1000.0,0.0,38.46153846153846,512.2339359341938,464,22,22,12,9,fixed-point,0.0,19.374927360045287,0.0
93,32,18,1,1,2,368,368,0,1000.0,0.0,2.717391304347826,2.9953681753216506,7336,367,0,0,0,divergent,2.032733660268233E30,2.032733660268233E30,0.0
94,32,16,1,1,2,30,30,0,1000.0,0.0,33.333333333333336,502.4995295468922,587,27,8,14,20,fixed-point,0.16999104114440367,6.237538574949992,0.0
95,32,24,1,1,2,35,35,0,1000.0,0.0,28.571428571428573,511.64418539289835,635,30,0,19,16,fixed-point,1.1347567221476975,983663.9470983732,0.0
96,32,17,1,1,2,383,383,0,1000.0,0.0,2.6109660574412534,2.878048583257093,6873,382,0,0,0,fixed-point,1.7140415662099062,10.297598693673692,0.0
97,32,20,1,1,2,28,28,0,1000.0,0.0,35.714285714285715,509.76025,488,25,0,7,7,fixed-point,0.1924093822441158,11.057238973277318,0.0
98,32,13,1,0,2,51,51,0,1000.0,0.0,19.607843137254903,43.81329167771688,944,50,0,0,50,fixed-point,0.0,3345.388486197991,0.0
99,32,18,1,0,2,35,35,0,1000.0,0.0,28.571428571428573,56.93376601116829,542,34,0,1,34,fixed-point,10.818744464235811,11.475284305174778,0.0
